species,age,weight,temperature,heartRate,respiratoryRate,skinRedness,itching,hairLoss,vomiting,diarrhea,appetiteLevel,waterIntakeLevel,activityLevel,symptomDurationDays,abnormalProbability,riskGrade,primaryRiskFactor
CAT,15,7.1,40.2,224,47,True,False,True,False,True,DECREASED,INCREASED,LOW,4,0.85,DANGER,"미열, 호흡 급증"
CAT,1,7.6,39.2,180,19,False,False,False,False,False,NORMAL,DECREASED,HIGH,7,0.0,NORMAL,이상 없음(정상)
CAT,3,3.5,39.3,218,27,False,False,False,False,False,NORMAL,NORMAL,NORMAL,0,0.0,NORMAL,이상 없음(정상)
CAT,1,5.5,38.4,140,27,False,False,False,False,False,NORMAL,NORMAL,NORMAL,0,0.0,NORMAL,이상 없음(정상)
DOG,5,3.4,38.4,142,29,False,False,False,False,False,NORMAL,NORMAL,NORMAL,0,0.04,NORMAL,이상 없음(정상)
CAT,13,3.6,38.8,109,21,False,False,False,False,False,NORMAL,DECREASED,NORMAL,0,0.0,NORMAL,이상 없음(정상)
CAT,6,2.2,39.3,147,18,False,False,False,False,False,NORMAL,NORMAL,NORMAL,0,0.09,NORMAL,이상 없음(정상)
DOG,15,15.2,37.9,104,19,False,False,False,False,True,INCREASED,NORMAL,NORMAL,3,0.14,NORMAL,이상 없음(정상)
CAT,10,6.9,39.5,255,31,True,True,False,False,False,NORMAL,NORMAL,NORMAL,2,0.4,WATCH,"빈맥, 피부 징후"
DOG,5,29.7,38.9,90,15,False,False,False,True,True,NORMAL,NORMAL,NORMAL,3,0.27,NORMAL,이상 없음(정상)
DOG,5,9.8,37.5,124,19,False,False,False,False,False,INCREASED,NORMAL,NORMAL,7,0.0,NORMAL,이상 없음(정상)
CAT,6,6.4,40.2,190,38,False,True,False,False,False,DECREASED,DECREASED,LOW,4,0.56,CAUTION,"미열, 피부 징후"
DOG,2,23.6,38.6,82,17,False,False,True,False,False,DECREASED,NORMAL,NORMAL,4,0.17,NORMAL,이상 없음(정상)
CAT,1,6.7,39.3,219,37,False,False,False,False,True,DECREASED,NORMAL,NORMAL,1,0.37,WATCH,"설사, 식욕 감소"
DOG,2,23.7,38.5,118,43,False,True,True,False,False,NORMAL,NORMAL,HIGH,5,0.35,WATCH,"호흡 급증, 피부 징후"
DOG,3,7.4,39.3,124,23,False,False,False,False,False,NONE,NORMAL,LOW,0,0.46,WATCH,"미열, 식욕 절폐"
CAT,11,2.5,39.1,146,25,False,False,False,False,False,NORMAL,NORMAL,NORMAL,0,0.03,NORMAL,이상 없음(정상)
CAT,10,4.2,39.2,191,21,True,False,False,False,True,DECREASED,NORMAL,NORMAL,2,0.3,WATCH,"설사, 피부 징후"
DOG,13,10.7,39.7,194,55,True,True,False,False,True,DECREASED,DECREASED,LOW,2,1.0,DANGER,"미열, 빈맥"
CAT,12,2.6,40.3,275,34,True,False,False,False,False,NORMAL,DECREASED,NORMAL,7,0.54,CAUTION,"미열, 빈맥"
DOG,6,20.4,38.7,122,33,False,True,False,False,False,NONE,NORMAL,NORMAL,7,0.41,WATCH,"피부 징후, 식욕 절폐"
CAT,6,7.1,39.7,235,25,True,True,False,False,False,DECREASED,NORMAL,NORMAL,0,0.33,WATCH,"미열, 피부 징후"
CAT,15,6.7,38.7,194,21,False,False,False,False,False,NORMAL,NORMAL,NORMAL,0,0.0,NORMAL,이상 없음(정상)
DOG,2,24.0,39.5,156,39,False,False,False,True,True,NORMAL,DECREASED,LOW,6,0.65,CAUTION,"미열, 소화기 이상(구토 및 설사)"
CAT,13,7.0,39.7,192,24,True,True,False,True,True,DECREASED,NORMAL,NORMAL,4,0.71,CAUTION,"미열, 소화기 이상(구토 및 설사)"
DOG,6,20.0,39.6,150,37,True,True,False,False,True,NORMAL,NORMAL,LOW,1,0.63,CAUTION,"미열, 설사"
CAT,15,2.3,41.5,277,53,True,True,False,False,True,NONE,INCREASED,LOW,2,1.0,DANGER,"고열, 빈맥"
DOG,14,8.0,39.5,165,35,False,False,False,False,False,NORMAL,NORMAL,NORMAL,0,0.4,WATCH,"미열, 빈맥"
CAT,6,6.3,39.4,203,42,False,False,False,False,False,INCREASED,INCREASED,NORMAL,4,0.28,NORMAL,이상 없음(정상)
DOG,3,21.3,39.8,101,26,False,False,False,True,True,DECREASED,NORMAL,NORMAL,7,0.65,CAUTION,"미열, 소화기 이상(구토 및 설사)"
CAT,6,3.0,41.2,288,41,True,False,True,True,True,DECREASED,DECREASED,LOW,3,1.0,DANGER,"고열, 빈맥"
CAT,9,3.8,40.3,288,53,True,True,False,True,True,NONE,DECREASED,LOW,5,1.0,DANGER,"미열, 빈맥"
CAT,9,3.6,38.9,182,14,False,True,False,False,True,INCREASED,NORMAL,HIGH,6,0.18,NORMAL,이상 없음(정상)
DOG,14,2.8,39.1,130,34,False,False,False,True,True,DECREASED,DECREASED,LOW,6,0.58,CAUTION,"소화기 이상(구토 및 설사), 식욕 감소"
CAT,6,7.6,38.5,192,18,False,False,False,False,False,NORMAL,NORMAL,NORMAL,0,0.09,NORMAL,이상 없음(정상)
DOG,9,19.7,38.1,65,29,False,False,False,False,False,NORMAL,NORMAL,NORMAL,0,0.0,NORMAL,이상 없음(정상)
CAT,7,3.2,39.1,209,31,False,False,False,False,False,NORMAL,NORMAL,NORMAL,0,0.0,NORMAL,이상 없음(정상)
CAT,13,7.8,38.1,155,29,False,False,False,False,False,NORMAL,NORMAL,HIGH,7,0.0,NORMAL,이상 없음(정상)
CAT,11,5.3,39.8,237,20,False,False,False,False,False,DECREASED,NORMAL,HIGH,1,0.34,WATCH,"미열, 식욕 감소"
CAT,2,7.0,39.9,224,22,False,True,True,True,True,NORMAL,INCREASED,HIGH,2,0.73,CAUTION,"미열, 소화기 이상(구토 및 설사)"
CAT,9,6.3,40.2,199,38,False,False,False,False,True,NORMAL,NORMAL,LOW,4,0.47,WATCH,"미열, 설사"
DOG,10,10.3,38.8,160,27,False,False,False,False,False,NORMAL,DECREASED,NORMAL,0,0.29,NORMAL,이상 없음(정상)
CAT,4,3.4,39.4,241,15,True,False,True,False,True,NORMAL,NORMAL,NORMAL,7,0.48,WATCH,"빈맥, 설사"
CAT,15,4.3,39.6,160,12,True,True,False,False,False,NORMAL,NORMAL,LOW,2,0.47,WATCH,"미열, 피부 징후"
DOG,15,22.4,39.1,103,32,False,False,False,False,False,NONE,NORMAL,NORMAL,7,0.34,WATCH,식욕 절폐
DOG,10,14.5,39.5,173,42,False,False,False,True,True,NONE,DECREASED,LOW,7,1.0,DANGER,"미열, 빈맥"
DOG,9,26.0,39.7,146,34,False,True,False,False,False,DECREASED,NORMAL,LOW,1,0.51,CAUTION,"미열, 피부 징후"
CAT,9,7.7,38.5,174,23,False,False,False,True,True,NORMAL,NORMAL,NORMAL,3,0.33,WATCH,소화기 이상(구토 및 설사)
CAT,12,2.5,38.5,224,29,False,False,False,False,False,NORMAL,NORMAL,HIGH,6,0.07,NORMAL,이상 없음(정상)
DOG,10,28.7,39.1,152,36,False,False,False,True,False,NORMAL,INCREASED,LOW,4,0.33,WATCH,"구토, 활동량 저하"
DOG,10,6.5,40.0,184,53,True,True,True,True,False,DECREASED,NORMAL,NORMAL,2,1.0,DANGER,"고열, 빈맥"
CAT,5,3.2,40.5,236,54,False,False,False,False,True,DECREASED,DECREASED,LOW,1,0.96,DANGER,"고열, 호흡 급증"
DOG,4,11.0,37.1,132,27,False,False,False,True,False,NORMAL,NORMAL,NORMAL,7,0.24,NORMAL,이상 없음(정상)
CAT,9,4.6,39.8,200,44,True,True,False,True,False,DECREASED,NORMAL,HIGH,0,1.0,DANGER,"미열, 호흡 급증"
CAT,6,5.9,39.3,171,17,False,False,False,False,False,NORMAL,NORMAL,NORMAL,0,0.07,NORMAL,이상 없음(정상)
DOG,13,22.0,39.6,120,26,False,True,False,False,False,NORMAL,NORMAL,NORMAL,0,0.32,WATCH,"미열, 피부 징후"
CAT,2,2.4,41.3,282,47,False,True,False,True,False,NONE,DECREASED,LOW,5,1.0,DANGER,"고열, 빈맥"
DOG,6,21.3,40.2,135,33,True,False,False,False,False,DECREASED,DECREASED,NORMAL,4,0.69,CAUTION,"고열, 피부 징후"
DOG,5,19.3,39.6,152,39,False,False,False,True,True,NORMAL,INCREASED,NORMAL,4,0.6,CAUTION,"미열, 소화기 이상(구토 및 설사)"
DOG,14,21.8,40.0,145,52,False,False,True,True,False,DECREASED,NORMAL,NORMAL,5,1.0,DANGER,"고열, 호흡 급증"
DOG,1,10.3,38.7,67,21,False,True,False,False,False,NORMAL,NORMAL,NORMAL,0,0.05,NORMAL,이상 없음(정상)
CAT,13,8.0,39.8,245,35,True,False,True,False,False,NORMAL,INCREASED,LOW,7,0.69,CAUTION,"미열, 빈맥"
DOG,7,22.1,38.1,103,22,False,False,False,False,False,NORMAL,NORMAL,LOW,4,0.07,NORMAL,이상 없음(정상)
CAT,12,4.5,40.6,231,72,True,True,False,True,False,NONE,NORMAL,LOW,0,1.0,DANGER,"고열, 호흡 급증"
DOG,10,16.0,38.6,72,35,False,False,False,False,False,NORMAL,NORMAL,NORMAL,0,0.03,NORMAL,이상 없음(정상)
DOG,6,18.0,40.6,204,40,False,True,False,False,True,DECREASED,DECREASED,LOW,3,1.0,DANGER,"고열, 빈맥"
DOG,11,24.7,40.7,212,34,True,False,False,True,True,NONE,NORMAL,LOW,3,1.0,DANGER,"고열, 빈맥"
CAT,11,2.5,39.7,251,22,False,False,False,True,False,DECREASED,DECREASED,NORMAL,2,0.6,CAUTION,"미열, 빈맥"
DOG,3,3.9,38.2,131,33,False,False,False,False,False,NORMAL,NORMAL,NORMAL,0,0.07,NORMAL,이상 없음(정상)
DOG,7,20.9,38.9,68,32,False,False,False,False,False,NORMAL,NORMAL,NORMAL,0,0.0,NORMAL,이상 없음(정상)
DOG,15,27.9,39.9,131,51,True,False,False,True,True,DECREASED,NORMAL,LOW,4,1.0,DANGER,"미열, 호흡 급증"
CAT,1,3.1,39.5,248,39,True,True,True,True,False,DECREASED,NORMAL,LOW,1,0.66,CAUTION,"빈맥, 구토"
CAT,1,7.6,39.5,193,24,False,False,True,False,False,INCREASED,NORMAL,NORMAL,6,0.29,NORMAL,이상 없음(정상)
CAT,7,4.2,39.1,206,41,True,False,False,False,False,NORMAL,INCREASED,HIGH,6,0.42,WATCH,"호흡 급증, 피부 징후"
CAT,2,6.2,39.5,131,18,False,True,False,False,False,NORMAL,INCREASED,NORMAL,0,0.14,NORMAL,이상 없음(정상)
DOG,3,12.8,39.0,127,43,True,False,False,False,False,DECREASED,NORMAL,LOW,2,0.67,CAUTION,"호흡 급증, 피부 징후"
DOG,7,6.2,39.1,149,16,False,False,False,True,True,DECREASED,NORMAL,LOW,5,0.43,WATCH,"소화기 이상(구토 및 설사), 식욕 감소"
DOG,4,13.5,38.7,65,13,True,False,False,False,False,NORMAL,NORMAL,NORMAL,0,0.09,NORMAL,이상 없음(정상)
DOG,15,8.7,39.2,169,35,False,False,True,False,False,DECREASED,DECREASED,LOW,7,0.67,CAUTION,"빈맥, 피부 징후"
DOG,1,26.5,40.1,143,40,False,False,False,False,True,DECREASED,DECREASED,LOW,1,0.97,DANGER,"고열, 호흡 급증"
DOG,11,10.8,39.2,152,19,False,False,False,True,False,NONE,NORMAL,NORMAL,1,0.45,WATCH,"구토, 식욕 절폐"
CAT,14,4.9,40.1,220,26,True,False,True,False,True,DECREASED,DECREASED,LOW,4,0.71,CAUTION,"미열, 설사"
CAT,5,5.9,39.1,163,34,False,False,False,False,False,INCREASED,NORMAL,NORMAL,3,0.0,NORMAL,이상 없음(정상)
DOG,4,16.1,39.9,182,50,False,False,False,True,True,NONE,NORMAL,NORMAL,5,1.0,DANGER,"미열, 빈맥"
DOG,11,25.4,38.5,103,26,False,False,False,False,False,NORMAL,NORMAL,NORMAL,0,0.08,NORMAL,이상 없음(정상)
CAT,5,8.0,40.5,254,44,False,True,False,True,True,NONE,DECREASED,LOW,6,1.0,DANGER,"고열, 빈맥"
DOG,6,29.3,39.0,107,32,True,False,False,True,False,NORMAL,NORMAL,NORMAL,0,0.33,WATCH,"구토, 피부 징후"
DOG,2,20.1,40.3,178,34,False,True,False,True,False,NONE,DECREASED,LOW,4,1.0,DANGER,"고열, 빈맥"
DOG,11,18.9,39.8,155,22,True,False,False,False,False,NONE,NORMAL,NORMAL,5,0.63,CAUTION,"미열, 피부 징후"
CAT,10,7.6,38.4,184,24,False,False,False,False,True,NORMAL,NORMAL,NORMAL,1,0.11,NORMAL,이상 없음(정상)
CAT,2,4.5,39.9,192,31,False,False,False,True,False,NORMAL,NORMAL,LOW,4,0.46,WATCH,"미열, 구토"
CAT,9,7.6,38.8,239,29,False,True,False,True,False,NORMAL,INCREASED,LOW,5,0.43,WATCH,"구토, 피부 징후"
CAT,7,5.3,39.6,260,35,False,False,False,False,True,DECREASED,NORMAL,NORMAL,2,0.62,CAUTION,"미열, 빈맥"
DOG,11,20.3,39.7,217,65,False,True,False,True,False,DECREASED,NORMAL,NORMAL,6,1.0,DANGER,"미열, 빈맥"
CAT,4,4.4,39.9,221,33,False,False,False,False,False,DECREASED,NORMAL,LOW,3,0.33,WATCH,"미열, 식욕 감소"
DOG,15,8.3,40.0,181,37,True,False,False,False,False,NONE,NORMAL,LOW,7,1.0,DANGER,"고열, 빈맥"
DOG,1,29.8,39.5,158,41,False,False,False,True,False,NORMAL,NORMAL,NORMAL,5,0.69,CAUTION,"미열, 호흡 급증"
DOG,5,3.5,38.8,123,22,True,False,False,False,True,DECREASED,INCREASED,NORMAL,1,0.46,WATCH,"설사, 피부 징후"
CAT,5,3.2,39.8,237,32,True,True,False,True,False,NONE,NORMAL,NORMAL,4,0.69,CAUTION,"미열, 구토"
DOG,15,6.5,40.1,145,40,False,False,False,False,False,NORMAL,NORMAL,NORMAL,0,0.66,CAUTION,"고열, 호흡 급증"
DOG,11,14.7,40.2,130,50,False,True,False,False,True,NONE,NORMAL,LOW,5,1.0,DANGER,"고열, 호흡 급증"
DOG,2,6.1,39.7,118,12,True,True,False,False,False,DECREASED,NORMAL,NORMAL,1,0.47,WATCH,"미열, 피부 징후"
DOG,10,24.9,39.1,127,24,False,False,False,True,True,NORMAL,INCREASED,LOW,2,0.47,WATCH,"소화기 이상(구토 및 설사), 활동량 저하"
CAT,7,3.1,39.6,236,39,True,False,False,False,True,DECREASED,DECREASED,NORMAL,1,0.57,CAUTION,"미열, 설사"
CAT,10,6.2,41.1,228,52,True,True,False,True,False,NONE,DECREASED,LOW,5,1.0,DANGER,"고열, 호흡 급증"
DOG,9,13.4,41.0,219,43,True,True,True,True,False,NORMAL,DECREASED,LOW,2,1.0,DANGER,"고열, 빈맥"
CAT,5,4.5,40.6,300,54,False,True,False,True,True,NONE,DECREASED,NORMAL,5,1.0,DANGER,"고열, 빈맥"
CAT,10,7.1,40.2,235,30,True,False,False,False,True,DECREASED,INCREASED,NORMAL,3,0.56,CAUTION,"미열, 설사"
DOG,15,14.7,39.4,90,30,False,False,False,True,False,NORMAL,INCREASED,NORMAL,6,0.32,WATCH,"미열, 구토"
CAT,12,7.1,39.1,194,19,True,False,False,True,False,NORMAL,DECREASED,NORMAL,5,0.3,WATCH,"구토, 피부 징후"
CAT,6,4.4,39.0,129,27,False,False,False,False,False,NORMAL,DECREASED,NORMAL,0,0.12,NORMAL,이상 없음(정상)
CAT,9,6.4,38.0,191,18,True,False,False,False,False,INCREASED,NORMAL,NORMAL,0,0.1,NORMAL,이상 없음(정상)
DOG,2,16.5,37.8,131,22,False,False,False,False,False,NORMAL,NORMAL,HIGH,5,0.01,NORMAL,이상 없음(정상)
DOG,6,12.2,41.0,157,40,True,False,False,False,False,DECREASED,NORMAL,NORMAL,1,0.95,DANGER,"고열, 호흡 급증"
DOG,3,13.6,39.5,94,37,False,False,False,True,True,NORMAL,DECREASED,LOW,5,0.68,CAUTION,"미열, 소화기 이상(구토 및 설사)"
DOG,7,6.7,39.4,136,55,True,False,False,True,False,NORMAL,NORMAL,NORMAL,1,0.7,CAUTION,"미열, 호흡 급증"
CAT,15,5.5,40.0,240,33,True,True,False,True,False,NORMAL,DECREASED,NORMAL,0,0.74,CAUTION,"미열, 빈맥"
DOG,11,27.2,39.7,135,58,False,False,False,False,False,NORMAL,NORMAL,LOW,2,0.66,CAUTION,"미열, 호흡 급증"
DOG,5,2.6,38.4,70,20,False,False,False,False,False,INCREASED,DECREASED,NORMAL,0,0.0,NORMAL,이상 없음(정상)
DOG,4,25.1,39.0,127,10,False,False,False,False,False,NORMAL,NORMAL,HIGH,1,0.0,NORMAL,이상 없음(정상)
DOG,8,29.5,39.7,130,62,False,True,True,True,True,NONE,DECREASED,LOW,7,1.0,DANGER,"미열, 호흡 급증"
CAT,2,7.3,39.2,251,38,False,True,False,False,False,DECREASED,NORMAL,LOW,6,0.51,CAUTION,"빈맥, 피부 징후"
DOG,9,3.4,38.6,160,40,True,False,False,False,False,NORMAL,NORMAL,NORMAL,0,0.49,WATCH,"빈맥, 호흡 급증"
DOG,13,10.1,40.1,150,34,False,True,False,True,False,NONE,DECREASED,LOW,6,1.0,DANGER,"고열, 구토"
CAT,11,3.4,40.4,289,34,False,True,False,False,True,NONE,NORMAL,HIGH,7,1.0,DANGER,"미열, 빈맥"
CAT,6,6.0,39.9,246,42,True,True,False,True,True,NONE,NORMAL,LOW,3,1.0,DANGER,"미열, 빈맥"
DOG,1,12.1,40.2,148,38,True,False,True,True,True,DECREASED,DECREASED,LOW,6,1.0,DANGER,"고열, 소화기 이상(구토 및 설사)"
CAT,15,7.7,40.2,222,39,True,True,False,False,True,DECREASED,NORMAL,NORMAL,7,0.68,CAUTION,"미열, 설사"
CAT,9,3.0,38.8,260,45,False,False,False,False,True,DECREASED,DECREASED,NORMAL,7,0.73,CAUTION,"빈맥, 호흡 급증"
DOG,2,6.4,40.0,196,50,False,False,True,False,True,NONE,DECREASED,LOW,6,1.0,DANGER,"고열, 빈맥"
